source_file,fuel_density,coolant_density,radius,particle_times
cf252source.py,14.6,0.45,0.1,"[2.98841638e-08 3.78717069e-07 4.42728293e-07 ... 3.03548319e-05
 3.68276956e-05 3.79064401e-05]"
cf252source.py,14.6,0.45,0.2,"[5.97683277e-08 4.08601233e-07 4.72612457e-07 ... 3.03987665e-05
 3.68716303e-05 3.79503747e-05]"
cf252source.py,14.6,0.45,0.3,"[8.96524915e-08 4.38485397e-07 5.02496621e-07 ... 3.04427012e-05
 3.69155649e-05 3.79943094e-05]"
cf252source.py,14.6,0.45,0.4,"[9.31808473e-08 1.27711043e-07 2.56988124e-07 ... 3.04866359e-05
 3.69594996e-05 3.80382441e-05]"
cf252source.py,14.6,0.45,0.5,"[9.31808473e-08 1.62393688e-07 2.91670770e-07 ... 3.05305705e-05
 3.70034342e-05 3.80821787e-05]"
cf252source.py,14.6,0.45,0.6,"[9.31808473e-08 1.95204122e-07 3.24481203e-07 ... 3.05745052e-05
 3.70473689e-05 3.81261134e-05]"
cf252source.py,14.6,0.45,0.7,"[9.31808473e-08 2.27077124e-07 3.56354205e-07 ... 3.06184398e-05
 3.70913035e-05 3.81700480e-05]"
cf252source.py,14.6,0.45,0.8,"[9.31808473e-08 2.43753925e-07 2.79524073e-07 ... 3.06623745e-05
 3.71352382e-05 3.82139827e-05]"
cf252source.py,14.6,0.45,0.9,"[9.31808473e-08 2.43753925e-07 3.35143164e-07 ... 3.07063091e-05
 3.71791729e-05 3.82579173e-05]"
cf252source.py,14.6,.45,1.0,"[9.31808473e-08 2.43753925e-07 3.80566922e-07 ... 3.07502438e-05
 3.72231075e-05 3.83018520e-05]"
