source_file,fuel_density,coolant_density,radius,particle_times
cf252source.py,14.6,0.45,0.1,"[2.98841638e-08 3.78717069e-07 4.42728293e-07 ... 3.03548319e-05
 3.68276956e-05 3.79064401e-05]"
cf252source.py,14.6,0.45,0.2,"[5.97683277e-08 4.08601233e-07 4.72612457e-07 ... 3.03987665e-05
 3.68716303e-05 3.79503747e-05]"
cf252source.py,14.6,0.45,0.3,"[8.96524915e-08 4.38485397e-07 5.02496621e-07 ... 3.04427012e-05
 3.69155649e-05 3.79943094e-05]"
cf252source.py,14.6,0.45,0.4,"[9.31808473e-08 1.27711043e-07 2.56988124e-07 ... 3.04866359e-05
 3.69594996e-05 3.80382441e-05]"
cf252source.py,14.6,0.45,0.5,"[9.31808473e-08 1.62393688e-07 2.91670770e-07 ... 3.05305705e-05
 3.70034342e-05 3.80821787e-05]"
cf252source.py,14.6,0.45,0.6,"[9.31808473e-08 1.95204122e-07 3.24481203e-07 ... 3.05745052e-05
 3.70473689e-05 3.81261134e-05]"
cf252source.py,14.6,0.45,0.7,"[9.31808473e-08 2.27077124e-07 3.56354205e-07 ... 3.06184398e-05
 3.70913035e-05 3.81700480e-05]"
cf252source.py,14.6,0.45,0.8,"[9.31808473e-08 2.43753925e-07 2.79524073e-07 ... 3.06623745e-05
 3.71352382e-05 3.82139827e-05]"
cf252source.py,14.6,0.45,0.9,"[9.31808473e-08 2.43753925e-07 3.35143164e-07 ... 3.07063091e-05
 3.71791729e-05 3.82579173e-05]"
cf252source.py,14.6,0.45,1.0,"[9.31808473e-08 2.43753925e-07 3.80566922e-07 ... 3.07502438e-05
 3.72231075e-05 3.83018520e-05]"
cf252source.py,14.6,0.55,0.1,"[2.98841638e-08 3.15292905e-07 3.67665724e-07 ... 2.48437597e-05
 3.01397391e-05 3.10223482e-05]"
cf252source.py,14.6,0.55,0.2,"[5.97683277e-08 3.45177069e-07 3.97549888e-07 ... 2.48876943e-05
 3.01836737e-05 3.10662828e-05]"
cf252source.py,14.6,0.55,0.3,"[8.96524915e-08 3.75061232e-07 4.27434052e-07 ... 2.49316290e-05
 3.02276084e-05 3.11102175e-05]"
cf252source.py,14.6,0.55,0.4,"[9.31808473e-08 1.27711043e-07 2.33483200e-07 ... 2.49755636e-05
 3.02715430e-05 3.11541522e-05]"
cf252source.py,14.6,0.55,0.5,"[9.31808473e-08 1.62393688e-07 2.68165846e-07 ... 2.50194983e-05
 3.03154777e-05 3.11980868e-05]"
cf252source.py,14.6,0.55,0.6,"[9.31808473e-08 1.95204122e-07 3.00976279e-07 ... 2.50634330e-05
 3.03594123e-05 3.12420215e-05]"
cf252source.py,14.6,0.55,0.7,"[9.31808473e-08 2.27077124e-07 3.32849281e-07 ... 2.51073676e-05
 3.04033470e-05 3.12859561e-05]"
cf252source.py,14.6,0.55,0.8,"[9.31808473e-08 2.43753925e-07 2.79524073e-07 ... 2.51513023e-05
 3.04472817e-05 3.13298908e-05]"
cf252source.py,14.6,0.55,0.9,"[9.31808473e-08 2.43753925e-07 3.35143164e-07 ... 2.51952369e-05
 3.04912163e-05 3.13738254e-05]"
