source_file,fuel_density,coolant_density,radius,particle_times
u235source.py,18.6,0.45,0.1,"[3.54598649e-08 4.48967976e-07 5.24498760e-07 ... 3.05091755e-05
 3.69821412e-05 3.80608944e-05]"
u235source.py,18.6,0.45,0.2,"[4.89419758e-08 5.67683283e-08 8.16184080e-08 ... 3.05601615e-05
 3.70331272e-05 3.81118804e-05]"
u235source.py,18.6,0.45,0.3,"[4.89419758e-08 5.67683283e-08 1.18651339e-07 ... 3.06111475e-05
 3.70841132e-05 3.81628664e-05]"
u235source.py,18.6,0.45,0.4,"[4.89419758e-08 5.67683283e-08 1.55149568e-07 ... 3.06621335e-05
 3.71350992e-05 3.82138524e-05]"
u235source.py,18.6,0.45,0.5,"[4.89419758e-08 5.67683283e-08 1.91440955e-07 ... 3.07131195e-05
 3.71860852e-05 3.82648384e-05]"
u235source.py,18.6,0.45,0.6,"[4.89419758e-08 5.67683283e-08 2.27630305e-07 ... 3.07641055e-05
 3.72370712e-05 3.83158244e-05]"
u235source.py,18.6,0.45,0.7,"[4.89419758e-08 5.67683283e-08 2.63761746e-07 ... 3.73459353e-08
 4.32415429e-08 3.26182225e-07]"
u235source.py,18.6,0.45,0.8,"[4.89419758e-08 5.67683283e-08 2.99857139e-07 ... 3.74036629e-08
 4.32562579e-08 3.26182225e-07]"
u235source.py,18.6,0.45,0.9,"[4.89419758e-08 5.67683283e-08 3.35928561e-07 ... 3.74613886e-08
 4.32709725e-08 3.26182225e-07]"
u235source.py,18.6,0.45,1.0,"[4.89419758e-08 5.67683283e-08 3.71983232e-07 ... 3.75191130e-08
 4.32856867e-08 3.26182225e-07]"
u235source.py,18.6,0.55,0.1,"[3.54598649e-08 3.73784683e-07 4.35582598e-07 ... 2.49713228e-05
 3.02673857e-05 3.11500019e-05]"
u235source.py,18.6,0.55,0.2,"[4.89419758e-08 5.67683283e-08 8.16184080e-08 ... 2.50223088e-05
 3.03183717e-05 3.12009879e-05]"
u235source.py,18.6,0.55,0.3,"[4.89419758e-08 5.67683283e-08 1.18651339e-07 ... 2.50732948e-05
 3.03693577e-05 3.12519739e-05]"
u235source.py,18.6,0.55,0.4,"[4.89419758e-08 5.67683283e-08 1.55149568e-07 ... 2.51242808e-05
 3.04203437e-05 3.13029599e-05]"
u235source.py,18.6,0.55,0.5,"[4.89419758e-08 5.67683283e-08 1.91440955e-07 ... 2.51752668e-05
 3.04713297e-05 3.13539459e-05]"
u235source.py,18.6,0.55,0.6,"[4.89419758e-08 5.67683283e-08 2.27630305e-07 ... 2.52262528e-05
 3.05223157e-05 3.14049319e-05]"
u235source.py,18.6,0.55,0.7,"[4.89419758e-08 5.67683283e-08 2.63761746e-07 ... 3.64903177e-08
 4.25004800e-08 3.26182225e-07]"
u235source.py,18.6,0.55,0.8,"[4.89419758e-08 5.67683283e-08 2.99857139e-07 ... 3.65480453e-08
 4.25151951e-08 3.26182225e-07]"
u235source.py,18.6,0.55,0.9,"[4.89419758e-08 5.67683283e-08 3.35928561e-07 ... 3.66057710e-08
 4.25299097e-08 3.26182225e-07]"
u235source.py,18.6,0.55,1.0,"[4.89419758e-08 5.67683283e-08 3.71983232e-07 ... 3.66634954e-08
 4.25446239e-08 3.26182225e-07]"
u235source.py,18.6,0.65,0.1,"[3.54598649e-08 3.21734711e-07 3.74025254e-07 ... 2.11374249e-05
 2.56187088e-05 2.63655379e-05]"
u235source.py,18.6,0.65,0.2,"[4.89419758e-08 5.67683283e-08 8.16184080e-08 ... 2.11884109e-05
 2.56696948e-05 2.64165239e-05]"
