source_file,fuel_density,coolant_density,radius,particle_times
u238sourceair.py,18.6,0.001,0.1,"[2.37808510e-08 3.18942892e-06 4.47266153e-08 ... 1.30424059e-05
 3.48528250e-08 4.34508841e-06]"
u238sourceair.py,18.6,0.001,0.2,"[4.75617020e-08 3.18942892e-06 8.94532306e-08 ... 1.30424059e-05
 6.97056499e-08 4.34508841e-06]"
u238sourceair.py,18.6,0.001,0.3,"[5.30506830e-08 7.66694967e-08 2.46003902e-06 ... 1.30424059e-05
 1.04558475e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.001,0.4,"[5.30506830e-08 1.03605771e-07 2.46003902e-06 ... 1.30424059e-05
 1.39411300e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.001,0.5,"[5.30506830e-08 1.29119529e-07 2.46003902e-06 ... 1.27092536e-05
 1.74264125e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.001,0.6,"[5.30506830e-08 1.38888609e-07 1.72523202e-07 ... 1.27092536e-05
 2.09116950e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.001,0.7,"[5.30506830e-08 1.38888609e-07 2.11447135e-07 ... 1.27092536e-05
 2.43969775e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.001,0.8,"[5.30506830e-08 1.38888609e-07 2.44073218e-07 ... 1.27092536e-05
 2.78822600e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.001,0.9,"[5.30506830e-08 1.38888609e-07 2.73920309e-07 ... 1.27092536e-05
 3.13675425e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.001,1.0,"[5.30506830e-08 1.38888609e-07 3.02204534e-07 ... 1.27092536e-05
 3.48528250e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.101,0.1,"[2.37808510e-08 3.18942892e-06 4.47266153e-08 ... 1.30424059e-05
 3.48528250e-08 4.34508841e-06]"
u238sourceair.py,18.6,0.101,0.2,"[4.75617020e-08 3.18942892e-06 8.94532306e-08 ... 1.30424059e-05
 6.97056499e-08 4.34508841e-06]"
u238sourceair.py,18.6,0.101,0.3,"[5.30506830e-08 7.66694967e-08 2.46003902e-06 ... 1.30424059e-05
 1.04558475e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.101,0.4,"[5.30506830e-08 1.03605771e-07 2.46003902e-06 ... 1.30424059e-05
 1.39411300e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.101,0.5,"[5.30506830e-08 1.29119529e-07 2.46003902e-06 ... 1.27092536e-05
 1.74264125e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.101,0.6,"[5.30506830e-08 1.38888609e-07 1.72523202e-07 ... 1.27092536e-05
 2.09116950e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.101,0.7,"[5.30506830e-08 1.38888609e-07 2.11447135e-07 ... 1.27092536e-05
 2.43969775e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.101,0.8,"[5.30506830e-08 1.38888609e-07 2.44073218e-07 ... 1.27092536e-05
 2.78822600e-07 4.34508841e-06]"
u238sourceair.py,18.6,0.101,0.9,"[5.30506830e-08 1.38888609e-07 2.73920309e-07 ... 1.27092536e-05
 3.13675425e-07 4.34508841e-06]"
