Epoch [1/200], Train Loss: 0.152968, Val Loss: 1.975738
Epoch [2/200], Train Loss: 0.129362, Val Loss: 721.491667
Epoch [3/200], Train Loss: 0.125270, Val Loss: 58754.447783
Epoch [4/200], Train Loss: 0.122098, Val Loss: 585.549060
Epoch [5/200], Train Loss: 0.123951, Val Loss: 28142805.993782
Epoch [6/200], Train Loss: 0.123996, Val Loss: 1307498.510202
Epoch [7/200], Train Loss: 0.121847, Val Loss: 21399657.749793
Epoch [8/200], Train Loss: 0.115368, Val Loss: 2611806.665606
Epoch [9/200], Train Loss: 0.112720, Val Loss: 19190.363529
Epoch [10/200], Train Loss: 0.111911, Val Loss: 1121.605797
Epoch [11/200], Train Loss: 0.112789, Val Loss: 1442321.932611
Epoch [12/200], Train Loss: 0.111919, Val Loss: 5864.516160
Epoch [13/200], Train Loss: 0.111274, Val Loss: 2880.473214
Epoch [14/200], Train Loss: 0.106602, Val Loss: 1404.921526
Epoch [15/200], Train Loss: 0.106660, Val Loss: 7288.026999
Epoch [16/200], Train Loss: 0.105445, Val Loss: 1280.428541
Epoch [17/200], Train Loss: 0.105791, Val Loss: 154273.299981
Epoch [18/200], Train Loss: 0.105401, Val Loss: 60054.558991
Epoch [19/200], Train Loss: 0.105013, Val Loss: 42619.454314
Epoch [20/200], Train Loss: 0.101626, Val Loss: 118039.681295
Epoch [21/200], Train Loss: 0.101665, Val Loss: 279917.324556
Epoch [22/200], Train Loss: 0.102539, Val Loss: 359759.578762
Epoch [23/200], Train Loss: 0.101646, Val Loss: 692306.277512
Epoch [24/200], Train Loss: 0.099633, Val Loss: 388349.190691
Epoch [25/200], Train Loss: 0.102140, Val Loss: 60936.638066
Epoch [26/200], Train Loss: 0.099974, Val Loss: 19041.745546
Epoch [27/200], Train Loss: 0.097972, Val Loss: 247329.125344
Epoch [28/200], Train Loss: 0.096448, Val Loss: 577894.629318
Epoch [29/200], Train Loss: 0.094879, Val Loss: 544910.000705
Epoch [30/200], Train Loss: 0.093421, Val Loss: 7897.181741
Epoch [31/200], Train Loss: 0.093159, Val Loss: 378750.845600
Epoch [32/200], Train Loss: 0.092902, Val Loss: 312331.578145
Epoch [33/200], Train Loss: 0.092076, Val Loss: 167940.193528
Epoch [34/200], Train Loss: 0.091860, Val Loss: 1135754.725781
Epoch [35/200], Train Loss: 0.091232, Val Loss: 436997.002731
Epoch [36/200], Train Loss: 0.092341, Val Loss: 777410.873890
Epoch [37/200], Train Loss: 0.091664, Val Loss: 350277.442847
Epoch [38/200], Train Loss: 0.091576, Val Loss: 1410316.814050
Epoch [39/200], Train Loss: 0.090712, Val Loss: 102817.905573
