Features size
5
1
Epoch [1/100], Train Loss: 1.041018, Val Loss: 0.952742
Epoch [2/100], Train Loss: 0.970651, Val Loss: 0.907023
Epoch [3/100], Train Loss: 0.967019, Val Loss: 0.892674
Epoch [4/100], Train Loss: 0.968351, Val Loss: 0.879891
Epoch [5/100], Train Loss: 0.957635, Val Loss: 0.875645
Epoch [6/100], Train Loss: 0.951153, Val Loss: 0.871244
Epoch [7/100], Train Loss: 0.953057, Val Loss: 0.878088
Epoch [8/100], Train Loss: 0.957998, Val Loss: 0.880447
Epoch [9/100], Train Loss: 0.950405, Val Loss: 0.867640
Epoch [10/100], Train Loss: 0.951845, Val Loss: 0.875035
Epoch [11/100], Train Loss: 0.957877, Val Loss: 0.876103
Epoch [12/100], Train Loss: 0.952813, Val Loss: 0.875836
Epoch [13/100], Train Loss: 0.954377, Val Loss: 0.867872
Epoch [14/100], Train Loss: 0.942352, Val Loss: 0.866066
Epoch [15/100], Train Loss: 0.947782, Val Loss: 0.868217
Epoch [16/100], Train Loss: 0.944090, Val Loss: 0.867034
Epoch [17/100], Train Loss: 0.942256, Val Loss: 0.869145
Epoch [18/100], Train Loss: 0.947196, Val Loss: 0.869713
Epoch [19/100], Train Loss: 0.941079, Val Loss: 0.871853
Epoch [20/100], Train Loss: 0.942537, Val Loss: 0.865543
Epoch [21/100], Train Loss: 0.938564, Val Loss: 0.862679
Epoch [22/100], Train Loss: 0.939585, Val Loss: 0.868103
Epoch [23/100], Train Loss: 0.942905, Val Loss: 0.863879
Epoch [24/100], Train Loss: 0.940447, Val Loss: 0.863273
Epoch [25/100], Train Loss: 0.939647, Val Loss: 0.861791
Epoch [26/100], Train Loss: 0.941502, Val Loss: 0.862762
Epoch [27/100], Train Loss: 0.938201, Val Loss: 0.862647
Epoch [28/100], Train Loss: 0.951786, Val Loss: 0.890320
Epoch [29/100], Train Loss: 0.942404, Val Loss: 0.864120
Epoch [30/100], Train Loss: 0.934556, Val Loss: 0.861065
Epoch [31/100], Train Loss: 0.940758, Val Loss: 0.863294
Epoch [32/100], Train Loss: 0.942191, Val Loss: 0.862267
Epoch [33/100], Train Loss: 0.940605, Val Loss: 0.861942
Epoch [34/100], Train Loss: 0.942430, Val Loss: 0.858866
Epoch [35/100], Train Loss: 0.936231, Val Loss: 0.860283
Epoch [36/100], Train Loss: 0.934035, Val Loss: 0.866841
Epoch [37/100], Train Loss: 0.935966, Val Loss: 0.862591
Epoch [38/100], Train Loss: 0.930294, Val Loss: 0.856110
Epoch [39/100], Train Loss: 0.920554, Val Loss: 0.856532
Epoch [40/100], Train Loss: 0.946118, Val Loss: 0.857304
Epoch [41/100], Train Loss: 0.936393, Val Loss: 0.868043
Epoch [42/100], Train Loss: 0.930124, Val Loss: 0.853117
Epoch [43/100], Train Loss: 0.931425, Val Loss: 0.858020
Epoch [44/100], Train Loss: 0.929743, Val Loss: 0.858546
Epoch [45/100], Train Loss: 0.933840, Val Loss: 0.858019
Epoch [46/100], Train Loss: 0.937742, Val Loss: 0.853061
Epoch [47/100], Train Loss: 0.923229, Val Loss: 0.853044
Epoch [48/100], Train Loss: 0.920631, Val Loss: 0.857614
Epoch [49/100], Train Loss: 0.924455, Val Loss: 0.852747
Epoch [50/100], Train Loss: 0.915059, Val Loss: 0.854654
Epoch [51/100], Train Loss: 0.921697, Val Loss: 0.851575
Epoch [52/100], Train Loss: 0.923524, Val Loss: 0.850704
Epoch [53/100], Train Loss: 0.920276, Val Loss: 0.852632
Epoch [54/100], Train Loss: 0.930578, Val Loss: 0.850615
Epoch [55/100], Train Loss: 0.920176, Val Loss: 0.850712
Epoch [56/100], Train Loss: 0.912336, Val Loss: 0.852013
Epoch [57/100], Train Loss: 0.931842, Val Loss: 0.850928
Epoch [58/100], Train Loss: 0.926654, Val Loss: 0.850270
Epoch [59/100], Train Loss: 0.925460, Val Loss: 0.851258
Epoch [60/100], Train Loss: 0.921873, Val Loss: 0.853103
Epoch [61/100], Train Loss: 0.926860, Val Loss: 0.852752
Epoch [62/100], Train Loss: 0.915002, Val Loss: 0.852583
Epoch [63/100], Train Loss: 0.912642, Val Loss: 0.851970
Epoch [64/100], Train Loss: 0.919667, Val Loss: 0.851755
Epoch [65/100], Train Loss: 0.923089, Val Loss: 0.851272
Epoch [66/100], Train Loss: 0.915293, Val Loss: 0.852065
Epoch [67/100], Train Loss: 0.922004, Val Loss: 0.852117
