Epoch [1/100], Train Loss: 0.157462, Val Loss: 0.117050
Epoch [2/100], Train Loss: 0.123450, Val Loss: 0.106828
Epoch [3/100], Train Loss: 0.118695, Val Loss: 0.107957
Epoch [4/100], Train Loss: 0.114993, Val Loss: 0.123369
Epoch [5/100], Train Loss: 0.111803, Val Loss: 0.245867
Epoch [6/100], Train Loss: 0.109178, Val Loss: 0.138955
Epoch [7/100], Train Loss: 0.108341, Val Loss: 0.112374
Epoch [8/100], Train Loss: 0.106860, Val Loss: 0.119249
Epoch [9/100], Train Loss: 0.105115, Val Loss: 0.106257
Epoch [10/100], Train Loss: 0.104836, Val Loss: 0.128365
Epoch [11/100], Train Loss: 0.103530, Val Loss: 0.115715
Epoch [12/100], Train Loss: 0.103445, Val Loss: 0.114316
Epoch [13/100], Train Loss: 0.102241, Val Loss: 0.125186
Epoch [14/100], Train Loss: 0.101854, Val Loss: 0.123727
Epoch [15/100], Train Loss: 0.101947, Val Loss: 0.125046
Epoch [16/100], Train Loss: 0.101868, Val Loss: 0.123983
Epoch [17/100], Train Loss: 0.101739, Val Loss: 0.112224
Epoch [18/100], Train Loss: 0.101216, Val Loss: 0.093776
Epoch [19/100], Train Loss: 0.101846, Val Loss: 0.111593
Epoch [20/100], Train Loss: 0.100458, Val Loss: 0.111016
Epoch [21/100], Train Loss: 0.101492, Val Loss: 0.113942
Epoch [22/100], Train Loss: 0.100353, Val Loss: 0.124415
Epoch [23/100], Train Loss: 0.100172, Val Loss: 0.124013
Epoch [24/100], Train Loss: 0.100287, Val Loss: 0.109391
Epoch [25/100], Train Loss: 0.100677, Val Loss: 0.115787
Epoch [26/100], Train Loss: 0.099989, Val Loss: 0.138192
Epoch [27/100], Train Loss: 0.100572, Val Loss: 0.119349
Epoch [28/100], Train Loss: 0.099827, Val Loss: 0.123127
Epoch [29/100], Train Loss: 0.099839, Val Loss: 0.124972
Epoch [30/100], Train Loss: 0.101098, Val Loss: 0.112062
Epoch [31/100], Train Loss: 0.099764, Val Loss: 0.111423
Epoch [32/100], Train Loss: 0.099712, Val Loss: 0.149265
Epoch [33/100], Train Loss: 0.099369, Val Loss: 0.114155
Epoch [34/100], Train Loss: 0.099376, Val Loss: 0.114434
Epoch [35/100], Train Loss: 0.099821, Val Loss: 0.117354
Epoch [36/100], Train Loss: 0.098370, Val Loss: 0.131345
Epoch [37/100], Train Loss: 0.098837, Val Loss: 0.123547
Epoch [38/100], Train Loss: 0.098718, Val Loss: 0.124697
Epoch [39/100], Train Loss: 0.098575, Val Loss: 0.120539
Epoch [40/100], Train Loss: 0.098172, Val Loss: 0.123693
Epoch [41/100], Train Loss: 0.097824, Val Loss: 0.118572
Epoch [42/100], Train Loss: 0.098808, Val Loss: 0.126134
Epoch [43/100], Train Loss: 0.098303, Val Loss: 0.120615
Epoch [44/100], Train Loss: 0.098694, Val Loss: 0.118825
Epoch [45/100], Train Loss: 0.097682, Val Loss: 0.104636
Epoch [46/100], Train Loss: 0.098174, Val Loss: 0.127655
Epoch [47/100], Train Loss: 0.097948, Val Loss: 0.111684
Epoch [48/100], Train Loss: 0.097283, Val Loss: 0.107749
Epoch [49/100], Train Loss: 0.096972, Val Loss: 0.131201
Epoch [50/100], Train Loss: 0.097645, Val Loss: 0.118815
Epoch [51/100], Train Loss: 0.097129, Val Loss: 0.106585
Epoch [52/100], Train Loss: 0.096783, Val Loss: 0.132968
Epoch [53/100], Train Loss: 0.097493, Val Loss: 0.144188
Epoch [54/100], Train Loss: 0.096666, Val Loss: 0.118250
Epoch [55/100], Train Loss: 0.096920, Val Loss: 0.113448
Epoch [56/100], Train Loss: 0.096139, Val Loss: 0.126502
Epoch [57/100], Train Loss: 0.096329, Val Loss: 0.107459
Epoch [58/100], Train Loss: 0.096570, Val Loss: 0.098735
Epoch [59/100], Train Loss: 0.096545, Val Loss: 0.116136
Epoch [60/100], Train Loss: 0.095984, Val Loss: 0.125199
Epoch [61/100], Train Loss: 0.095797, Val Loss: 0.124812
Epoch [62/100], Train Loss: 0.096593, Val Loss: 0.109466
Epoch [63/100], Train Loss: 0.095717, Val Loss: 0.123087
Epoch [64/100], Train Loss: 0.095520, Val Loss: 0.110288
Epoch [65/100], Train Loss: 0.095390, Val Loss: 0.136896
Epoch [66/100], Train Loss: 0.096527, Val Loss: 0.105671
Epoch [67/100], Train Loss: 0.096309, Val Loss: 0.122626
Epoch [68/100], Train Loss: 0.095064, Val Loss: 0.113454
Epoch [69/100], Train Loss: 0.095239, Val Loss: 0.118585
Epoch [70/100], Train Loss: 0.096065, Val Loss: 0.102622
Epoch [71/100], Train Loss: 0.096109, Val Loss: 0.114902
Epoch [72/100], Train Loss: 0.095927, Val Loss: 0.127520
Epoch [73/100], Train Loss: 0.095624, Val Loss: 0.109968
Epoch [74/100], Train Loss: 0.095553, Val Loss: 0.125307
Epoch [75/100], Train Loss: 0.095570, Val Loss: 0.101292
Epoch [76/100], Train Loss: 0.095651, Val Loss: 0.129361
Epoch [77/100], Train Loss: 0.095766, Val Loss: 0.124744
Epoch [78/100], Train Loss: 0.095494, Val Loss: 0.117651
Epoch [79/100], Train Loss: 0.095439, Val Loss: 0.114574
Epoch [80/100], Train Loss: 0.095822, Val Loss: 0.114019
Epoch [81/100], Train Loss: 0.095602, Val Loss: 0.137797
Epoch [82/100], Train Loss: 0.095471, Val Loss: 0.122575
Epoch [83/100], Train Loss: 0.095378, Val Loss: 0.101455
Epoch [84/100], Train Loss: 0.095527, Val Loss: 0.129412
Epoch [85/100], Train Loss: 0.095651, Val Loss: 0.116348
Epoch [86/100], Train Loss: 0.094969, Val Loss: 0.126797
Epoch [87/100], Train Loss: 0.095546, Val Loss: 0.131634
Epoch [88/100], Train Loss: 0.095362, Val Loss: 0.115982
Epoch [89/100], Train Loss: 0.094913, Val Loss: 0.125648
Epoch [90/100], Train Loss: 0.094857, Val Loss: 0.136597
Epoch [91/100], Train Loss: 0.094999, Val Loss: 0.116905
Epoch [92/100], Train Loss: 0.095714, Val Loss: 0.132480
Epoch [93/100], Train Loss: 0.095432, Val Loss: 0.121446
Epoch [94/100], Train Loss: 0.095478, Val Loss: 0.137614
Epoch [95/100], Train Loss: 0.095785, Val Loss: 0.131688
Epoch [96/100], Train Loss: 0.095236, Val Loss: 0.128511
Epoch [97/100], Train Loss: 0.094991, Val Loss: 0.124674
Epoch [98/100], Train Loss: 0.095413, Val Loss: 0.128642
Epoch [99/100], Train Loss: 0.095825, Val Loss: 0.108307
Epoch [100/100], Train Loss: 0.095413, Val Loss: 0.115569
Training completed. Logs and model saved in runs/cnn_20250214_061034
