Features size
5
15
Epoch [1/100], Train Loss: 0.582672, Val Loss: 0.544523
Epoch [2/100], Train Loss: 0.554214, Val Loss: 0.526974
Epoch [3/100], Train Loss: 0.544349, Val Loss: 0.515439
Epoch [4/100], Train Loss: 0.536202, Val Loss: 0.511811
Epoch [5/100], Train Loss: 0.532834, Val Loss: 0.511634
Epoch [6/100], Train Loss: 0.530739, Val Loss: 0.512939
Epoch [7/100], Train Loss: 0.528881, Val Loss: 0.512987
Epoch [8/100], Train Loss: 0.528046, Val Loss: 0.508174
Epoch [9/100], Train Loss: 0.528826, Val Loss: 0.509860
Epoch [10/100], Train Loss: 0.534050, Val Loss: 0.511413
Epoch [11/100], Train Loss: 0.529244, Val Loss: 0.514970
Epoch [12/100], Train Loss: 0.528285, Val Loss: 0.508662
Epoch [13/100], Train Loss: 0.531364, Val Loss: 0.513897
Epoch [14/100], Train Loss: 0.524553, Val Loss: 0.515984
Epoch [15/100], Train Loss: 0.525191, Val Loss: 0.510446
Epoch [16/100], Train Loss: 0.523054, Val Loss: 0.516165
Epoch [17/100], Train Loss: 0.527672, Val Loss: 0.510971
Epoch [18/100], Train Loss: 0.523707, Val Loss: 0.504975
Epoch [19/100], Train Loss: 0.523892, Val Loss: 0.505896
Epoch [20/100], Train Loss: 0.522461, Val Loss: 0.506047
Epoch [21/100], Train Loss: 0.523313, Val Loss: 0.509260
Epoch [22/100], Train Loss: 0.523237, Val Loss: 0.506012
Epoch [23/100], Train Loss: 0.526044, Val Loss: 0.507092
Epoch [24/100], Train Loss: 0.523037, Val Loss: 0.508024
Epoch [25/100], Train Loss: 0.521286, Val Loss: 0.509995
Epoch [26/100], Train Loss: 0.524052, Val Loss: 0.505309
Epoch [27/100], Train Loss: 0.534639, Val Loss: 0.506443
Epoch [28/100], Train Loss: 0.520224, Val Loss: 0.502935
Epoch [29/100], Train Loss: 0.521457, Val Loss: 0.507637
Epoch [30/100], Train Loss: 0.521276, Val Loss: 0.505608
Epoch [31/100], Train Loss: 0.521379, Val Loss: 0.507919
Epoch [32/100], Train Loss: 0.519676, Val Loss: 0.512287
Epoch [33/100], Train Loss: 0.519601, Val Loss: 0.511605
Epoch [34/100], Train Loss: 0.519144, Val Loss: 0.509028
Epoch [35/100], Train Loss: 0.524367, Val Loss: 0.505781
Epoch [36/100], Train Loss: 0.520254, Val Loss: 0.501414
Epoch [37/100], Train Loss: 0.519351, Val Loss: 0.504368
Epoch [38/100], Train Loss: 0.527055, Val Loss: 0.508443
Epoch [39/100], Train Loss: 0.524064, Val Loss: 0.505038
Epoch [40/100], Train Loss: 0.519431, Val Loss: 0.504520
Epoch [41/100], Train Loss: 0.520832, Val Loss: 0.509721
Epoch [42/100], Train Loss: 0.519397, Val Loss: 0.509754
Epoch [43/100], Train Loss: 0.521643, Val Loss: 0.509677
Epoch [44/100], Train Loss: 0.518599, Val Loss: 0.506080
Epoch [45/100], Train Loss: 0.518248, Val Loss: 0.507636
Epoch [46/100], Train Loss: 0.518366, Val Loss: 0.507811
Epoch [47/100], Train Loss: 0.518378, Val Loss: 0.507569
Epoch [48/100], Train Loss: 0.521008, Val Loss: 0.508054
