Features size
5
5
Epoch [1/100], Train Loss: -85930.147467, Val Loss: -394479.030222
Epoch [2/100], Train Loss: -2013124.396451, Val Loss: -4831920.221154
Epoch [3/100], Train Loss: -10752764.450049, Val Loss: -18717366.852471
Epoch [4/100], Train Loss: -32174389.266050, Val Loss: -49214242.139725
Epoch [5/100], Train Loss: -72246949.034656, Val Loss: -100750234.324786
Epoch [6/100], Train Loss: -136778887.816408, Val Loss: -178150301.009290
Epoch [7/100], Train Loss: -232199045.693951, Val Loss: -288106793.694537
Epoch [8/100], Train Loss: -364369738.819288, Val Loss: -440150705.189149
Epoch [9/100], Train Loss: -539042890.743473, Val Loss: -653907831.521368
Epoch [10/100], Train Loss: -762411649.103781, Val Loss: -897110028.414716
Epoch [11/100], Train Loss: -1040713316.483508, Val Loss: -1182561484.735786
Epoch [12/100], Train Loss: -1380655351.930874, Val Loss: -1550619538.526942
Epoch [13/100], Train Loss: -1786610233.798012, Val Loss: -1977836450.984764
Epoch [14/100], Train Loss: -2264314634.251417, Val Loss: -2562613930.048309
Epoch [15/100], Train Loss: -2823078660.816501, Val Loss: -3195285251.852843
Epoch [16/100], Train Loss: -3465866907.442163, Val Loss: -3852858644.929023
Epoch [17/100], Train Loss: -4199810826.893617, Val Loss: -4546350840.341881
Epoch [18/100], Train Loss: -5033701653.014215, Val Loss: -5500331600.291342
Epoch [19/100], Train Loss: -5970641918.917774, Val Loss: -6371360013.033073
Epoch [20/100], Train Loss: -7013944210.540556, Val Loss: -7540654463.667038
Epoch [21/100], Train Loss: -8172117664.859240, Val Loss: -8622381670.266815
Epoch [22/100], Train Loss: -9456329950.343956, Val Loss: -10217420596.798216
Epoch [23/100], Train Loss: -10859330154.914429, Val Loss: -11809661322.036417
Epoch [24/100], Train Loss: -12412708607.024807, Val Loss: -13271457649.872910
Epoch [25/100], Train Loss: -14080958646.384836, Val Loss: -15095499742.133036
Epoch [26/100], Train Loss: -15924595326.442070, Val Loss: -16595354988.355259
Epoch [27/100], Train Loss: -17901493096.702408, Val Loss: -18935027082.797474
Epoch [28/100], Train Loss: -20044966164.288769, Val Loss: -21096366321.254551
Epoch [29/100], Train Loss: -22332158828.436680, Val Loss: -23414219378.348568
Epoch [30/100], Train Loss: -24806425741.331600, Val Loss: -26046633595.481236
Epoch [31/100], Train Loss: -27451214346.988758, Val Loss: -28205701558.748421
Epoch [32/100], Train Loss: -30265615223.092445, Val Loss: -31463185299.169083
Epoch [33/100], Train Loss: -33280390901.510731, Val Loss: -34800683199.405426
Epoch [34/100], Train Loss: -36479992357.628174, Val Loss: -38893135915.380157
Epoch [35/100], Train Loss: -39917252838.335777, Val Loss: -42134576578.925308
Epoch [36/100], Train Loss: -43497008153.783150, Val Loss: -45705503267.959869
Epoch [37/100], Train Loss: -47360685234.769485, Val Loss: -48365428778.619102
Epoch [38/100], Train Loss: -51356664181.808044, Val Loss: -53083294758.433296
Epoch [39/100], Train Loss: -55670562548.464180, Val Loss: -57573030190.900040
